radius,density,mass,gravity
0.0,13.0885,0.0,0.0
12.858,13.08846,1.1654619179099904e+17,0.0470497118609909
25.716,13.08836,9.3236517112967e+17,0.09409898336605789
38.574,13.08818,3.1467072862580275e+18,0.14114734620017078
51.432,13.08792,7.458774712146813e+18,0.1881942663943266
64.289,13.0876,1.4567021566861136e+19,0.23523565332814847
77.147,13.087200000000001,2.517155079843306e+19,0.2822783770092147
90.005,13.086739999999999,3.997085608555396e+19,0.3293183275296781
102.863,13.086200000000002,5.966372991353148e+19,0.37635505270130865
115.721,13.08558,8.494878676821644e+19,0.4233880036433789
128.579,13.0849,1.165244697246995e+20,0.4704167436792563
141.437,13.08414,1.550890166995779e+20,0.5174408290975917
154.295,13.08332,2.0134043801164975e+20,0.5644598125118707
167.153,13.08242,2.559764939426085e+20,0.611473244486879
180.011,13.08144,3.1969462359075756e+20,0.6584805740607561
192.868,13.0804,3.9318589024809176e+20,0.7054777062652543
205.726,13.07928,4.771585397646725e+20,0.752471508403318
218.584,13.078100000000001,5.723037632061356e+20,0.7994578790666031
231.442,13.07684,6.793177143258361e+20,0.8464363702237415
244.3,13.0755,7.988960691547178e+20,0.8934064303214113
257.158,13.0741,9.3173416615502e+20,0.9403676186059597
270.016,13.07262,1.0785269110326894e+21,0.9873194914937515
282.874,13.07108,1.2399687542980747e+21,1.0342616033248249
295.732,13.06946,1.4167536688266208e+21,1.081193506892374
308.589,13.06776,1.6095593411416708e+21,1.1281110009551716
321.447,13.066,1.819108643138033e+21,1.1750209424332876
334.305,13.06417,2.0460796771412565e+21,1.221919290635401
347.163,13.06226,2.2911641723501735e+21,1.268805544630828
360.021,13.06028,2.5550532456939373e+21,1.3156792062310008
372.879,13.05823,2.8384374862892987e+21,1.3625398315153026
385.737,13.0561,3.142006729893397e+21,1.4093869229420748
398.595,13.05391,3.4664502529289633e+21,1.4562200371137175
411.453,13.051639999999999,3.812456649025332e+21,1.5030387291656966
424.311,13.049299999999999,4.180713665489571e+21,1.5498425007254728
437.168,13.04689,4.571877108611851e+21,1.596627268414229
450.026,13.0444,4.986694015079918e+21,1.6433998122564635
